antecedent,consequent,confidence,lift
"ROUND SNACK BOXES SET OF 4 FRUITS, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN STRONGMAN,0.3333,6.666
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, SPACEBOY LUNCH BOX",0.2609,4.3483
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE",SPACEBOY LUNCH BOX,0.3529,3.2082
"DOLLY GIRL LUNCH BOX, CHILDRENS CUTLERY SPACEBOY",SPACEBOY LUNCH BOX,1.0,9.0909
MINI JIGSAW DOLLY GIRL,"MINI JIGSAW SPACEBOY, MINI JIGSAW CIRCUS PARADE",0.5455,20.4307
"MINI JIGSAW DOLLY GIRL, MINI JIGSAW SPACEBOY",MINI JIGSAW CIRCUS PARADE,0.75,25.0
"CIRCUS PARADE LUNCH BOX, SPACEBOY LUNCH BOX",PLASTERS IN TIN CIRCUS PARADE,0.375,5.9242
"POSTAGE, PLASTERS IN TIN SPACEBOY",SPACEBOY LUNCH BOX,0.4615,4.1955
CHILDRENS CUTLERY SPACEBOY,"CHILDRENS CUTLERY DOLLY GIRL, SPACEBOY LUNCH BOX",0.2857,14.285
"CHILDRENS CUTLERY SPACEBOY, CHILDRENS CUTLERY DOLLY GIRL",SPACEBOY LUNCH BOX,0.4615,4.1955
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.3158,13.5536
"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.75,20.436
LUNCH BAG RED RETROSPOT,"LUNCH BAG WOODLAND, LUNCH BAG SPACEBOY DESIGN",0.3,11.236
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN,0.6667,14.2762
DOLLY GIRL LUNCH BOX,"ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.3333,7.137
"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.8,7.2727
"DOLLY GIRL LUNCH BOX, POSTAGE",PLASTERS IN TIN SPACEBOY,0.3333,4.3455
RED RETROSPOT BOWL,"BLUE POLKADOT BOWL, RED RETROSPOT PLATE",0.4286,21.43
"RED RETROSPOT BOWL, BLUE POLKADOT BOWL",RED RETROSPOT PLATE,0.6,20.0
ROUND SNACK BOXES SET OF 4 FRUITS,"DOLLY GIRL LUNCH BOX, POSTAGE",0.3478,4.9686
"ROUND SNACK BOXES SET OF 4 FRUITS, DOLLY GIRL LUNCH BOX",POSTAGE,1.0,2.5208
REGENCY TEAPOT ROSES,"REGENCY MILK JUG PINK, REGENCY TEA PLATE ROSES",0.5455,27.275
"REGENCY TEAPOT ROSES, REGENCY MILK JUG PINK",REGENCY TEA PLATE ROSES,0.8571,23.3542
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND, DOLLY GIRL LUNCH BOX",0.3043,7.6075
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE","DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND",0.4118,8.236
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE, DOLLY GIRL LUNCH BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.875,6.1061
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.2609,8.6967
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE","ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.3529,7.5567
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.4286,3.8964
DOLLY GIRL LUNCH BOX,"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.25,8.3333
"DOLLY GIRL LUNCH BOX, POSTAGE","ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.4286,9.1777
"DOLLY GIRL LUNCH BOX, POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.75,6.8182
PLASTERS IN TIN CIRCUS PARADE,"DOLLY GIRL LUNCH BOX, CIRCUS PARADE LUNCH BOX, SPACEBOY LUNCH BOX",0.3158,7.2933
"CIRCUS PARADE LUNCH BOX, PLASTERS IN TIN CIRCUS PARADE","DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",0.8571,9.8858
"DOLLY GIRL LUNCH BOX, CIRCUS PARADE LUNCH BOX, PLASTERS IN TIN CIRCUS PARADE",SPACEBOY LUNCH BOX,1.0,9.0909
REGENCY TEAPOT ROSES,"REGENCY TEA PLATE ROSES, REGENCY SUGAR BOWL GREEN, REGENCY MILK JUG PINK",0.5455,27.275
"REGENCY TEAPOT ROSES, REGENCY SUGAR BOWL GREEN","REGENCY TEA PLATE ROSES, REGENCY MILK JUG PINK",0.8571,42.855
"REGENCY TEAPOT ROSES, REGENCY SUGAR BOWL GREEN, REGENCY TEA PLATE ROSES",REGENCY MILK JUG PINK,0.8571,28.57
PLASTERS IN TIN CIRCUS PARADE,"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN SPACEBOY, SPACEBOY LUNCH BOX",0.3158,11.8277
"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN CIRCUS PARADE","PLASTERS IN TIN SPACEBOY, SPACEBOY LUNCH BOX",0.6667,22.2233
"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN SPACEBOY, PLASTERS IN TIN CIRCUS PARADE",SPACEBOY LUNCH BOX,0.8571,7.7918
"POSTAGE, CIRCUS PARADE LUNCH BOX","DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",0.8889,10.2526
"POSTAGE, CIRCUS PARADE LUNCH BOX, DOLLY GIRL LUNCH BOX",SPACEBOY LUNCH BOX,1.0,9.0909
"POSTAGE, DOLLY GIRL LUNCH BOX","PLASTERS IN TIN SPACEBOY, SPACEBOY LUNCH BOX",0.2857,9.5233
"POSTAGE, PLASTERS IN TIN SPACEBOY, DOLLY GIRL LUNCH BOX",SPACEBOY LUNCH BOX,0.8571,7.7918
ROUND SNACK BOXES SET OF 4 FRUITS,"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.2609,6.5225
"ROUND SNACK BOXES SET OF 4 FRUITS, DOLLY GIRL LUNCH BOX","ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.75,16.06
"ROUND SNACK BOXES SET OF 4 FRUITS, DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.8571,7.7918
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, SPACEBOY LUNCH BOX, DOLLY GIRL LUNCH BOX",0.2609,4.6014
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE","DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",0.3529,4.0704
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE, DOLLY GIRL LUNCH BOX",SPACEBOY LUNCH BOX,0.75,6.8182
CIRCUS PARADE LUNCH BOX,"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.3,7.5
"DOLLY GIRL LUNCH BOX, CIRCUS PARADE LUNCH BOX","ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.4286,9.1777
"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND, CIRCUS PARADE LUNCH BOX",SPACEBOY LUNCH BOX,1.0,9.0909
ROSES REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.3158,13.5536
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER","REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",0.75,25.0
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",PINK REGENCY TEACUP AND SAUCER,0.8571,23.3542
ALARM CLOCK BAKELIKE RED,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE CHOCOLATE",0.3,15.0
"ALARM CLOCK BAKELIKE RED, ALARM CLOCK BAKELIKE CHOCOLATE","ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK",0.5455,16.3814
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED, ALARM CLOCK BAKELIKE CHOCOLATE",ALARM CLOCK BAKELIKE PINK,0.6667,13.334
ROUND SNACK BOXES SET OF 4 FRUITS,"SPACEBOY LUNCH BOX, POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND, DOLLY GIRL LUNCH BOX",0.2609,8.6967
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE","DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.3529,8.8225
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND","DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",0.4286,4.9435
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND, DOLLY GIRL LUNCH BOX",SPACEBOY LUNCH BOX,0.8571,7.7918
3D DOG PICTURE PLAYING CARDS,AIRLINE BAG VINTAGE JET SET BROWN,1.0,1.6667
AIRLINE BAG VINTAGE JET SET BROWN,3D DOG PICTURE PLAYING CARDS,0.8333,1.6666
